
Scan Time:     2023-06-05 01:06:49
Target File:   /bin/ls
MD5 Checksum:  4e5a37f83422f953095fdb5bcf2c4397
Signatures:    445

DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
0             0x0             Mach-O universal binary with 2 architectures
17908         0x45F4          Unix path: /usr/lib/dyld
18048         0x4680          Unix path: /usr/lib/libutil.dylib
47493         0xB985          Copyright string: "Copyright (c) 1989, 1993, 1994"
71333         0x116A5         Certificate in DER format (x509 v3), header length: 4, sequence length: 1038
72375         0x11AB7         Certificate in DER format (x509 v3), header length: 4, sequence length: 1204
73583         0x11F6F         Certificate in DER format (x509 v3), header length: 4, sequence length: 1211
74258         0x12212         Certificate in DER format (x509 v3), header length: 4, sequence length: 260
75160         0x12598         XML document, version: "1.0"
99740         0x1859C         Unix path: /usr/lib/dyld
112676        0x1B824         AArch64 instructions, function epilogue
112688        0x1B830         AArch64 instructions, function epilogue
112692        0x1B834         AArch64 instructions, nop
112696        0x1B838         AArch64 instructions, nop
112792        0x1B898         AArch64 instructions, function epilogue
112804        0x1B8A4         AArch64 instructions, function epilogue
112808        0x1B8A8         AArch64 instructions, nop
112812        0x1B8AC         AArch64 instructions, nop
112908        0x1B90C         AArch64 instructions, function epilogue
112920        0x1B918         AArch64 instructions, function epilogue
112924        0x1B91C         AArch64 instructions, nop
112928        0x1B920         AArch64 instructions, nop
113024        0x1B980         AArch64 instructions, function epilogue
113036        0x1B98C         AArch64 instructions, function epilogue
113040        0x1B990         AArch64 instructions, nop
113044        0x1B994         AArch64 instructions, nop
113120        0x1B9E0         AArch64 instructions, function epilogue
113132        0x1B9EC         AArch64 instructions, function epilogue
113176        0x1BA18         AArch64 instructions, function epilogue
113188        0x1BA24         AArch64 instructions, function epilogue
113292        0x1BA8C         AArch64 instructions, nop
113308        0x1BA9C         AArch64 instructions, nop
113316        0x1BAA4         AArch64 instructions, nop
113364        0x1BAD4         AArch64 instructions, nop
113420        0x1BB0C         AArch64 instructions, nop
113536        0x1BB80         AArch64 instructions, nop
113564        0x1BB9C         AArch64 instructions, nop
113596        0x1BBBC         AArch64 instructions, nop
113604        0x1BBC4         AArch64 instructions, nop
113656        0x1BBF8         AArch64 instructions, nop
113820        0x1BC9C         AArch64 instructions, nop
113840        0x1BCB0         AArch64 instructions, nop
113860        0x1BCC4         AArch64 instructions, nop
113880        0x1BCD8         AArch64 instructions, nop
113900        0x1BCEC         AArch64 instructions, nop
113920        0x1BD00         AArch64 instructions, nop
113940        0x1BD14         AArch64 instructions, nop
113960        0x1BD28         AArch64 instructions, nop
113980        0x1BD3C         AArch64 instructions, nop
114000        0x1BD50         AArch64 instructions, nop
114044        0x1BD7C         AArch64 instructions, nop
114532        0x1BF64         AArch64 instructions, nop
114544        0x1BF70         AArch64 instructions, nop
114572        0x1BF8C         AArch64 instructions, nop
114580        0x1BF94         AArch64 instructions, nop
114704        0x1C010         AArch64 instructions, nop
114868        0x1C0B4         AArch64 instructions, nop
114944        0x1C100         AArch64 instructions, nop
114960        0x1C110         AArch64 instructions, nop
114996        0x1C134         AArch64 instructions, nop
115012        0x1C144         AArch64 instructions, nop
115048        0x1C168         AArch64 instructions, nop
115072        0x1C180         AArch64 instructions, nop
115096        0x1C198         AArch64 instructions, nop
115120        0x1C1B0         AArch64 instructions, nop
115144        0x1C1C8         AArch64 instructions, nop
115172        0x1C1E4         AArch64 instructions, nop
115248        0x1C230         AArch64 instructions, nop
115260        0x1C23C         AArch64 instructions, nop
115296        0x1C260         AArch64 instructions, nop
115336        0x1C288         AArch64 instructions, nop
115348        0x1C294         AArch64 instructions, nop
115364        0x1C2A4         AArch64 instructions, nop
115384        0x1C2B8         AArch64 instructions, nop
115428        0x1C2E4         AArch64 instructions, nop
115516        0x1C33C         AArch64 instructions, nop
115596        0x1C38C         AArch64 instructions, nop
115684        0x1C3E4         AArch64 instructions, nop
115700        0x1C3F4         AArch64 instructions, nop
115716        0x1C404         AArch64 instructions, nop
115728        0x1C410         AArch64 instructions, nop
115740        0x1C41C         AArch64 instructions, nop
115752        0x1C428         AArch64 instructions, nop
115764        0x1C434         AArch64 instructions, nop
115780        0x1C444         AArch64 instructions, nop
115796        0x1C454         AArch64 instructions, nop
115816        0x1C468         AArch64 instructions, nop
115832        0x1C478         AArch64 instructions, nop
115848        0x1C488         AArch64 instructions, nop
115860        0x1C494         AArch64 instructions, nop
115872        0x1C4A0         AArch64 instructions, nop
115884        0x1C4AC         AArch64 instructions, nop
115896        0x1C4B8         AArch64 instructions, nop
115912        0x1C4C8         AArch64 instructions, nop
115928        0x1C4D8         AArch64 instructions, nop
115956        0x1C4F4         AArch64 instructions, nop
115976        0x1C508         AArch64 instructions, nop
116004        0x1C524         AArch64 instructions, nop
